Data ID,Classification,Confidence Score,Detailed Justification
D1,WARNING,0.80,"Authentication failures (SPF softfail, DKIM policy, DMARC fail) combined with high exfiltration behavior score (0.90). Sender domain reputation moderate (0.67) but temp email likelihood high (0.48). No confirmed malware but behavioral anomalies require user verification per Rule 9."
D2,MALICIOUS,0.95,"Packer detected (1) with ActiveX objects (1) triggering Rule 5: dangerous code execution. High behavioral sandbox score (0.56) and maximum exfiltration score (0.99). Good sender reputation overridden by confirmed threat indicators requiring immediate blocking."
D3,WARNING,0.75,"Legal threat request with poor sender reputation (1.15e-08) and authentication failures (SPF fail, DMARC temperror). No confirmed malware but high-risk request type combined with auth issues warrants user verification per Rule 11 and social engineering patterns."
D4,SPAM,0.85,"Poor sender reputation (0.0015) with authentication failure (DMARC fail) but no confirmed threats. High exfiltration score (0.77) without malware components suggests spam classification per Rule 17. Behavioral anomalies insufficient for malicious without confirmation."
D5,SPAM,0.80,"Very poor sender reputation (4.93e-10) with authentication failures (DKIM fail, DMARC fail) and high spam score (0.69). No malicious components detected. Pattern indicates bulk spam distribution per Rule 17 without confirmed threats."
D6,WARNING,0.70,"Invoice verification request (high-risk financial) with SSL certificate issues (self-signed) and authentication concerns (DKIM neutral). Mixed authentication results with financial request type require user verification per Rule 10 - suspicious financial requests."
D7,NO ACTION,0.80,"All authentication passed (SPF/DKIM/DKIM pass) with valid TLS and good security posture. Despite high exfiltration score (0.90), lack of confirmed threats and strong authentication suggest clean email per Rule 20 - legitimate business patterns."
D8,MALICIOUS,0.90,"Total_components_detected_malicious=1 triggers Rule 2: confirmed malicious components require immediate blocking. Poor sender reputation and authentication failures (SPF fail, DKIM policy) support the classification. SSL self-signed adds risk confirmation."
D9,SPAM,0.85,"Return path mismatch (1) with high temp email likelihood (0.79) and multiple authentication failures (SPF/DKIM/DMARC fail). Expired SSL certificate and poor reputation without confirmed malware indicates spam campaign per Rule 17."
D10,WARNING,0.65,"Meeting request with moderate behavioral scores (sandbox=0.06, exfiltration=0.65) and mixed authentication (DKIM policy). URL present with moderate threat indicators. Request type and behavioral anomalies warrant verification per Rule 9 - mixed signals."
D11,MALICIOUS,0.95,"Total_components_detected_malicious=3 with sensitive data request triggers Rule 2: confirmed malicious components override all other signals. SSL self-signed and high SMTP reputation (0.88) cannot override confirmed threat detection requiring immediate blocking."
