Data ID,Classification,Confidence Score,Detailed Justification
D1,WARNING,0.75,"Rule 9: Mixed threat signals. Max_exfiltration_behavior_score=0.90 (>0.70) WITHOUT confirmed threats equals WARNING per Rule 3 note. Authentication failures (SPF softfail, DKIM policy, DMARC fail) with behavioral scores in high range but no confirmed malware detection (total_components_detected_malicious=0, total_yara_match_count=0). Mixed signals require user verification."
D2,MALICIOUS,0.95,"Rule 5: Dangerous code execution. Packer_detected=1 + any_active_x_objects_detected=1 triggers automatic MALICIOUS classification. This combination creates executable threat environment with obfuscation bypassing detection. Good sender reputation (0.78) overridden by confirmed dangerous code execution patterns requiring immediate blocking."
D3,WARNING,0.70,"Rule 12: Infrastructure concerns. Request_type='legal_threat' (high manipulation risk per special considerations) with authentication failures (SPF fail, DMARC temperror) WITHOUT confirmed threats. Very poor sender reputation (1.15e-08) but no malicious components detected. Legal threat manipulation creates infrastructure concern requiring verification."
D4,SPAM,0.80,"Rule 15: Poor sender reputation. Sender_domain_reputation_score=0.0015 < 0.10 with no confirmed threats and high spam patterns. Authentication failure (DMARC fail) supports spam classification. Max_exfiltration_behavior_score=0.77 high but without confirmed malware indicates behavioral false positive. No specific targeting detected."
D5,SPAM,0.85,"Rule 14: High spam probability. Content_spam_score=0.69 > 0.60 with no malicious components detected and no high-risk request types. Multiple authentication failures (DKIM fail, DMARC fail) support spam classification. Very poor sender reputation (4.93e-10) indicates spam distribution without security threats."
D6,WARNING,0.70,"Rule 10: Suspicious financial requests. Request_type='invoice_verification' (medium-risk financial) with mixed authentication (SPF pass, DKIM neutral, DMARC none) - some pass but not all. Behavioral scores < 0.40 and no confirmed malware. SSL self-signed adds infrastructure concern. Financial request requires user verification."
D7,WARNING,0.70,"Rule 12: Infrastructure concerns. SSL_validity_status='self_signed' WITHOUT confirmed threats creates infrastructure concern. Despite good authentication (SPF pass, DKIM pass, DMARC pass), self-signed certificate with high max_exfiltration_behavior_score=0.895 requires user verification per infrastructure concerns rule."
D8,MALICIOUS,0.95,"Rule 2: Confirmed malware detection. Total_components_detected_malicious=1 > 0 automatically triggers MALICIOUS classification. Authentication failures (SPF fail, DKIM policy) and SSL self-signed support classification. Confirmed malicious components override all other signals requiring immediate blocking."
D9,WARNING,0.70,"Rule 12: Infrastructure concerns. SSL_validity_status='expired' WITHOUT confirmed threats creates infrastructure concern. Multiple authentication failures (SPF fail, DKIM fail, DMARC fail) and return_path_mismatch_with_from=1 but content_spam_score=0.007 < 0.60 doesn't meet Rule 17 spam threshold. Infrastructure concerns require user verification."
D10,WARNING,0.65,"Rule 9: Mixed threat signals. Behavioral scores (max_behavioral_sandbox_score=0.06, max_exfiltration_behavior_score=0.65) between 0.30-0.70 range with no confirmed malware detection and authentication concerns (DKIM policy). Request_type='meeting_request' with behavioral anomalies warrant user verification."
D11,MALICIOUS,0.95,"Rule 2: Confirmed malware detection. Total_components_detected_malicious=3 > 0 automatically triggers MALICIOUS classification. Request_type='sensitive_data_request' (medium-risk) with confirmed malicious components. Authentication issues and SSL self-signed support classification. Confirmed threats override all signals."
